INPUT:input	OUTPUT:answer	OUTPUT:rating	OUTPUT:feedback	OUTPUT:Skylar_do	OUTPUT:Skylar_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_show_up	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	OUTPUT:answer_Connect with the local team leader	GOLDEN:answer	GOLDEN:rating	GOLDEN:feedback	GOLDEN:Skylar_do	GOLDEN:Skylar_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_show_up	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	GOLDEN:answer_Connect with the local team leader	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	show_up	8.0	--------------------------------------------		Furious	-----------------------------------------------------		-------------------------------------------------------------	-------------------------------------------------------------------		embarrassed	Yes		no	Yes		eu.24198a69-210a-4112-8c9a-156ab25847d7	-------------------------------------		-----------------------------------------------------------	--------------------------------------------------------------																											https://platform.toloka.ai/task/39734356/00025e4c54--648fe7ec80e07a75fd921b0a	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe7ec80e07a75fd921b0a	79dc8021f62893abddc1686e686d555b	REJECTED	2023-06-19T05:30:20.818	-	rationale inadequate
																																																							
test	show_up	1.0	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		Furious	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		embarrassed	Yes		Yes	Yes		eu.298db09f-c510-43c5-9271-08b2061a8e04	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.		Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.	Before submitting my answers, I promise not to accept undeserved assistance and to abide by the aforementioned rules of the game.																											https://platform.toloka.ai/task/39734356/00025e4c54--648fe7f880636234aac33702	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe7f880636234aac33702	7e04700798fce0589ef2cd858f9068e0	REJECTED	2023-06-19T05:30:32.520	-	inadequate
																																																							
test	show_up	1.0	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		Furious	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		embarrassed	Yes		Yes	Yes		eu.7358b952-bb91-403b-8be4-1487d695d4b6	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""		"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""	"""G:\=envato\ghost-recon-future-soldier-1469.jpg"""																											https://platform.toloka.ai/task/39734356/00025e4c54--648fe880ce8f6852fb760a47	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe880ce8f6852fb760a47	fa06c82e4cc82ce668730e358dfeb602	REJECTED	2023-06-19T05:32:48.918	-	inadequate
																																																							
test	Connect with the local team leader	9.0	I think the graphics and sound are pretty good. Storyline is also quite good. Nice game.			It is a better decision, so as to know if there is vacancy for a new player.	The team leader needed financial support and therefore it is better to help. Make friends rather than enemies.					Yes	Yes				eu.8bda1f83-8245-4d26-9964-1386b0326520	It is a better decision, so as to know if there is vacancy for a new player.	The team leader needed financial support and therefore it is better to help. Make friends rather than enemies.				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648fe99208b5135b6609a764	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648fe99208b5135b6609a764	9e6adddc7e29cb8a5a21a0896e0c5bbc	REJECTED	2023-06-19T05:37:22.318	-	inadequate
																																																							
test	Connect with the local team leader	10.0	it's my first time to know this game but I liket it.			"- Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice.
"	"If she really wants something, she has to pay for it. There is no problem with that, and in order for the coach to do his job, he must be paid for it like any job
"					no	Yes				eu.7fad3579-5615-490f-9ba0-c3379a76047c	"- Skylar's intention to join the local soccer team may involve reaching out and connecting with the team leader to inquire about joining and gather more information before attending practice.
"	"If she really wants something, she has to pay for it. There is no problem with that, and in order for the coach to do his job, he must be paid for it like any job
"				surprised																									https://platform.toloka.ai/task/39734356/00025e4c54--648febcbd7c375249d44f2e6	e2013b3a-5c56-45aa-9305-f86a6e1f06f4	00025e4c54--648febcbd7c375249d44f2e6	a63a444bdea49acfc63ca60b0a978c96	REJECTED	2023-06-19T05:46:51.841	-	inadequate
																																																							
